Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Michael Jordan,1985,2003,1072,38.3,30.1,6.2,5.3,2.3,0.8,.497,.327,.835,214.0,.250,jordami01
2,Wilt Chamberlain,1960,1973,1045,45.8,30.1,22.9,4.4,,,.540,,.511,247.3,.248,chambwi01
3,Bill Russell,1957,1969,963,42.3,15.1,22.5,4.3,,,.440,,.561,163.5,.193,russebi01
4,Shaquille O'Neal,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,.582,.045,.527,181.7,.208,onealsh01
5,Oscar Robertson,1961,1974,1040,42.2,25.7,7.5,9.5,1.1,0.1,.485,,.838,189.2,.207,roberos01
6,Magic Johnson,1980,1996,906,36.7,19.5,7.2,11.2,1.9,0.4,.520,.303,.848,155.8,.225,johnsma02
7,Kareem Abdul-Jabbar,1970,1989,1560,36.8,24.6,11.2,3.6,0.9,2.6,.559,.056,.721,273.4,.228,abdulka01
8,Tim Duncan,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.179,.696,206.4,.209,duncati01
9,Larry Bird,1980,1992,897,38.4,24.3,10.0,6.3,1.7,0.8,.496,.376,.886,145.8,.203,birdla01
10,Kobe Bryant,1997,2016,1346,36.1,25.0,5.2,4.7,1.4,0.5,.447,.329,.837,172.7,.170,bryanko01
11,Jerry West,1961,1974,932,39.2,27.0,5.8,6.7,2.6,0.7,.474,,.814,162.6,.213,westje01
12,Elgin Baylor,1959,1972,846,40.0,27.4,13.5,4.3,,,.431,,.780,104.2,.148,bayloel01
13,Hakeem Olajuwon,1985,2002,1238,35.7,21.8,11.1,2.5,1.7,3.1,.512,.202,.712,162.8,.177,olajuha01
14,Bob Pettit,1955,1965,792,38.8,26.4,16.2,3.0,,,.436,,.761,136.0,.213,pettibo01
15,Moses Malone,1977,1995,1329,33.9,20.6,12.2,1.4,0.8,1.3,.491,.100,.769,167.1,.178,malonmo01
16,Julius Erving,1977,1987,836,34.3,22.0,6.7,3.9,1.8,1.5,.507,.261,.777,106.2,.178,ervinju01
17,John Havlicek,1963,1978,1270,36.6,20.8,6.3,4.8,1.2,0.3,.439,,.815,131.7,.136,havlijo01
18,Karl Malone,1986,2004,1476,37.2,25.0,10.1,3.6,1.4,0.8,.516,.274,.742,234.6,.205,malonka01
19,Isiah Thomas,1982,1994,979,36.3,19.2,3.6,9.3,1.9,0.3,.452,.290,.759,80.7,.109,thomais01
20,Charles Barkley,1985,2000,1073,36.7,22.1,11.7,3.9,1.5,0.8,.541,.266,.735,177.2,.216,barklch01
21,Rick Barry,1966,1980,794,36.3,23.2,6.5,5.1,2.0,0.5,.449,.330,.900,93.4,.156,barryri01
22,John Stockton,1985,2003,1504,31.8,13.1,2.7,10.5,2.2,0.2,.515,.384,.826,207.7,.209,stockjo01
23,Elvin Hayes,1969,1984,1303,38.4,21.0,12.5,1.8,1.0,2.0,.452,.147,.670,120.8,.116,hayesel01
24,Bob Cousy,1951,1970,924,35.3,18.4,5.2,7.5,,,.375,,.803,91.1,.139,cousybo01
25,David Robinson,1990,2003,987,34.7,21.1,10.6,2.5,1.4,3.0,.518,.250,.736,178.7,.250,robinda01
26,Kevin McHale,1981,1993,971,31.0,17.9,7.3,1.7,0.4,1.7,.554,.261,.798,113.0,.180,mchalke01
27,Scottie Pippen,1988,2004,1178,34.9,16.1,6.4,5.2,2.0,0.8,.473,.326,.704,125.1,.146,pippesc01
28,Jason Kidd,1995,2013,1391,36.0,12.6,6.3,8.7,1.9,0.3,.400,.349,.785,138.6,.133,kiddja01
29,George Mikan,1949,1956,439,34.4,23.1,13.4,2.8,,,.404,,.782,108.7,.249,mikange01
30,Kevin Garnett,1996,2016,1462,34.5,17.8,10.0,3.7,1.3,1.4,.497,.275,.789,191.4,.182,garneke01
31,LeBron James,2004,2023,1397,38.1,27.2,7.5,7.3,1.6,0.8,.505,.344,.735,252.7,.228,jamesle01
32,Willis Reed,1965,1974,650,35.5,18.7,12.9,1.8,0.6,1.1,.476,,.747,74.9,.156,reedwi01
33,Wes Unseld,1969,1981,984,36.4,10.8,14.0,3.9,1.1,0.6,.509,.500,.633,110.1,.147,unselwe01
34,Nate Thurmond,1964,1977,964,37.2,15.0,15.0,2.7,0.5,2.1,.421,,.667,78.0,.104,thurmna01
35,Dolph Schayes,1950,1964,996,34.4,18.5,12.1,3.1,,,.380,,.849,142.4,.192,schaydo01
36,Walt Frazier,1968,1980,825,37.5,18.9,5.9,6.1,1.9,0.2,.490,.000,.786,113.5,.176,fraziwa01
37,Patrick Ewing,1986,2002,1183,34.3,21.0,9.8,1.9,1.0,2.4,.504,.152,.740,126.4,.150,ewingpa01
38,Jerry Lucas,1964,1974,829,38.8,17.0,15.6,3.3,0.4,0.3,.499,,.783,98.4,.147,lucasje01
39,Gary Payton,1991,2007,1335,35.3,16.3,3.9,6.7,1.8,0.2,.466,.317,.729,145.5,.148,paytoga01
40,Allen Iverson,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.313,.780,99.0,.126,iversal01
41,Billy Cunningham,1966,1976,654,34.3,20.8,10.1,4.0,1.2,0.5,.446,,.720,63.2,.135,cunnibi01
42,Clyde Drexler,1984,1998,1086,34.6,20.4,6.1,5.6,2.0,0.7,.472,.318,.788,135.6,.173,drexlcl01
43,Dominique Wilkins,1983,1999,1074,35.5,24.8,6.7,2.5,1.3,0.6,.461,.319,.811,117.5,.148,wilkido01
44,Dave Cowens,1971,1983,766,38.6,17.6,13.6,3.8,1.1,0.9,.460,.071,.783,86.3,.140,cowenda01
45,George Gervin,1977,1986,791,33.5,26.2,4.6,2.8,1.2,0.8,.511,.297,.844,88.1,.159,gervige01
46,Bob McAdoo,1973,1986,852,33.2,22.1,9.4,2.3,1.0,1.5,.503,.081,.754,89.1,.151,mcadobo01
47,Earl Monroe,1968,1980,926,32.0,18.8,3.0,3.9,1.0,0.3,.464,,.807,77.4,.125,monroea01
48,Dennis Rodman,1987,2000,911,31.7,7.3,13.1,1.8,0.7,0.6,.521,.231,.584,89.8,.150,rodmade01
49,Dwyane Wade,2004,2019,1054,33.9,22.0,4.7,5.4,1.5,0.8,.480,.293,.765,120.7,.162,wadedw01
50,Steve Nash,1997,2014,1217,31.3,14.3,3.0,8.5,0.7,0.1,.490,.428,.904,129.7,.164,nashst01
51,Walt Bellamy,1962,1975,1043,37.3,20.1,13.7,2.4,0.7,0.6,.516,,.632,130.0,.160,bellawa01
52,Tiny Archibald,1971,1984,876,35.6,18.8,2.3,7.4,1.1,0.1,.467,.224,.810,83.4,.128,architi01
53,Dennis Johnson,1977,1990,1100,32.7,14.1,3.9,5.0,1.3,0.6,.445,.172,.797,82.6,.110,johnsde01
54,Reggie Miller,1988,2005,1389,34.3,18.2,3.0,3.0,1.1,0.2,.471,.395,.888,174.4,.176,millere01
55,Dirk Nowitzki,1999,2019,1522,33.8,20.7,7.5,2.4,0.8,0.8,.471,.380,.879,206.3,.193,nowitdi01
56,Connie Hawkins,1970,1976,499,34.5,16.5,8.0,4.1,1.2,0.8,.467,,.785,47.5,.132,hawkico01
57,Dave Bing,1967,1978,901,36.4,20.3,3.8,6.0,1.3,0.2,.441,,.775,68.8,.101,bingda01
58,James Worthy,1983,1994,926,32.4,17.6,5.1,3.0,1.1,0.7,.521,.241,.769,81.2,.130,worthja01
59,Hal Greer,1959,1973,1122,35.5,19.2,5.0,4.0,,,.452,,.801,102.7,.124,greerha01
60,Pete Maravich,1971,1980,658,37.0,24.2,4.2,5.4,1.4,0.3,.441,.667,.820,46.7,.092,maravpe01
61,Jack Twyman,1956,1966,823,31.8,19.2,6.6,2.3,,,.450,,.778,75.0,.138,twymaja01
62,Bob Lanier,1971,1984,959,33.5,20.1,10.1,3.1,1.1,1.5,.514,.154,.767,117.1,.175,laniebo01
63,David Thompson,1977,1984,509,32.0,22.1,3.8,3.2,0.9,0.8,.504,.277,.778,50.8,.150,thompda01
